scope,group_name,item_no,item_name,level,condition,pct_優,pct_稍優,pct_普通,pct_稍劣,pct_劣,note
individual,接近條件,,接近公程園度、廣場,劣,1500m以上或無,-4.0,-3.0,-2.0,-1.0,0.0,以宗地接近公園、廣場程度衡量其優劣
individual,接近條件,,接近車站程度,優,未滿300m,0.0,1.0,2.0,3.0,4.0,以宗地接近車站程度衡量其優劣
individual,接近條件,,接近車站程度,稍優,300m以上未滿400m,-1.0,0.0,1.0,2.0,3.0,以宗地接近車站程度衡量其優劣
individual,接近條件,,接近車站程度,普通,400m以上未滿600m,-2.0,-1.0,0.0,1.0,2.0,以宗地接近車站程度衡量其優劣
individual,接近條件,,接近車站程度,稍劣,600m以上未滿800m,-3.0,-2.0,-1.0,0.0,1.0,以宗地接近車站程度衡量其優劣
individual,接近條件,,接近車站程度,劣,800m以上或無,-4.0,-3.0,-2.0,-1.0,0.0,以宗地接近車站程度衡量其優劣
individual,接近條件,,接近商圈程度,優,未滿500m,0.0,2.0,4.0,6.0,8.0,以宗地接近商圈之程度來衡量其優劣
individual,接近條件,,接近商圈程度,稍優,500m以上未滿1000m,-2.0,0.0,2.0,4.0,6.0,以宗地接近商圈之程度來衡量其優劣
individual,接近條件,,接近商圈程度,普通,1000m以上未滿1800m,-4.0,-2.0,0.0,2.0,4.0,以宗地接近商圈之程度來衡量其優劣
individual,接近條件,,接近商圈程度,稍劣,1800m以上未滿2800m,-6.0,-4.0,-2.0,0.0,2.0,以宗地接近商圈之程度來衡量其優劣
individual,接近條件,,接近商圈程度,劣,2800m以上或無,-8.0,-6.0,-4.0,-2.0,0.0,以宗地接近商圈之程度來衡量其優劣
individual,周邊環境條件,,嫌惡設施之有無,優,500m以上或無,0.0,1.5,3.0,4.5,6.0,以宗地周圍環境是否有嫌惡設施衡量其優劣
individual,周邊環境條件,,嫌惡設施之有無,稍優,300m以上未滿500m,-1.5,0.0,1.5,3.0,4.5,以宗地周圍環境是否有嫌惡設施衡量其優劣
individual,周邊環境條件,,嫌惡設施之有無,普通,200m以上未滿300m,-3.0,-1.5,0.0,1.5,3.0,以宗地周圍環境是否有嫌惡設施衡量其優劣
individual,周邊環境條件,,嫌惡設施之有無,稍劣,100m以上未滿200m,-4.5,-3.0,-1.5,0.0,1.5,以宗地周圍環境是否有嫌惡設施衡量其優劣
individual,周邊環境條件,,嫌惡設施之有無,劣,未滿100m,-6.0,-4.5,-3.0,-1.5,0.0,以宗地周圍環境是否有嫌惡設施衡量其優劣
individual,周邊環境條件,,停車方便性,優,可路邊停車,0.0,,,,2.0,以宗地周圍環境停車方便性衡量其優劣
individual,周邊環境條件,,停車方便性,劣,不可路邊停車,-2.0,,,,0.0,以宗地周圍環境停車方便性衡量其優劣
individual,行政條件,,使用分區或編定,優,商業區,0.0,3.75,7.5,11.25,15.0,以使用分區或編定衡量其優劣
individual,行政條件,,使用分區或編定,稍優,住宅區,-3.75,0.0,3.75,7.5,11.25,以使用分區或編定衡量其優劣
individual,行政條件,,使用分區或編定,普通,甲建、乙建,-7.5,-3.75,0.0,3.75,7.5,以使用分區或編定衡量其優劣
individual,行政條件,,使用分區或編定,稍劣,農業區、保護區建地目,-11.25,-7.5,-3.75,0.0,3.75,以使用分區或編定衡量其優劣
individual,行政條件,,使用分區或編定,劣,農業區、保護區已建築用地,-15.0,-11.25,-7.5,-3.75,0.0,以使用分區或編定衡量其優劣
individual,行政條件,,建蔽率,優,80%以上,0.0,2.5,5.0,7.5,10.0,以建蔽率衡量其優劣
individual,行政條件,,建蔽率,稍優,70%以上未滿80%,-2.5,0.0,2.5,5.0,7.5,以建蔽率衡量其優劣
individual,行政條件,,建蔽率,普通,60%以上未滿70%,-5.0,-2.5,0.0,2.5,5.0,以建蔽率衡量其優劣
individual,行政條件,,建蔽率,稍劣,50%以上未滿60%,-7.5,-5.0,-2.5,0.0,2.5,以建蔽率衡量其優劣
individual,行政條件,,建蔽率,劣,未滿50%,-10.0,-7.5,-5.0,-2.5,0.0,以建蔽率衡量其優劣
individual,行政條件,,容積率,優,300%以上,0.0,10.0,20.0,30.0,40.0,以容積率衡量其優劣
individual,行政條件,,容積率,稍優,240%以上未滿300%,-10.0,0.0,10.0,20.0,30.0,以容積率衡量其優劣
individual,行政條件,,容積率,普通,200%以上未滿240%,-20.0,-10.0,0.0,10.0,20.0,以容積率衡量其優劣
individual,行政條件,,容積率,稍劣,120%以上未滿200%,-30.0,-20.0,-10.0,0.0,10.0,以容積率衡量其優劣
individual,行政條件,,容積率,劣,未滿120%,-40.0,-30.0,-20.0,-10.0,0.0,以容積率衡量其優劣
individual,行政條件,,有無禁限建,優,無禁止或限制建築,0.0,,,,40.0,以有無禁限建衡量其優劣
individual,行政條件,,有無禁限建,劣,有禁止或限制建築,-40.0,,,,0.0,以有無禁限建衡量其優劣
